127.0.0.1 - - [18/Jan/2019:09:46:33 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [18/Jan/2019:09:46:50 +0900] "GET /ShoppingSite/index.jsp HTTP/1.1" 200 2310
0:0:0:0:0:0:0:1 - - [18/Jan/2019:09:46:50 +0900] "GET /ShoppingSite/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:09:46:50 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [18/Jan/2019:09:46:56 +0900] "GET /ShoppingSite/ItemListAction.action;jsessionid=BDCB3AF9C817F6C0E4FD75B9C0F843A2 HTTP/1.1" 200 2909
0:0:0:0:0:0:0:1 - - [18/Jan/2019:09:47:00 +0900] "GET /ShoppingSite/ItemPageAction.action?id=1 HTTP/1.1" 200 4862
0:0:0:0:0:0:0:1 - - [18/Jan/2019:09:48:17 +0900] "GET /ShoppingSite/ItemPageAction.action?id=1 HTTP/1.1" 200 4887
0:0:0:0:0:0:0:1 - - [18/Jan/2019:09:48:34 +0900] "GET /ShoppingSite/ItemPageAction.action?id=1 HTTP/1.1" 200 2292
0:0:0:0:0:0:0:1 - - [18/Jan/2019:09:49:02 +0900] "GET /ShoppingSite/ItemPageAction.action?id=1 HTTP/1.1" 200 4881
0:0:0:0:0:0:0:1 - - [18/Jan/2019:09:51:19 +0900] "GET /ShoppingSite/ItemPageAction.action?id=1 HTTP/1.1" 200 4933
0:0:0:0:0:0:0:1 - - [18/Jan/2019:09:53:02 +0900] "GET /ShoppingSite/ItemPageAction.action?id=1 HTTP/1.1" 200 4939
0:0:0:0:0:0:0:1 - - [18/Jan/2019:09:55:09 +0900] "GET /ShoppingSite/ItemPageAction.action?id=1 HTTP/1.1" 200 4962
0:0:0:0:0:0:0:1 - - [18/Jan/2019:09:55:28 +0900] "GET /ShoppingSite/ItemPageAction.action?id=1 HTTP/1.1" 200 2292
0:0:0:0:0:0:0:1 - - [18/Jan/2019:09:56:00 +0900] "GET /ShoppingSite/ItemPageAction.action?id=1 HTTP/1.1" 200 4967
0:0:0:0:0:0:0:1 - - [18/Jan/2019:09:56:40 +0900] "GET /ShoppingSite/ItemPageAction.action?id=1 HTTP/1.1" 200 5127
0:0:0:0:0:0:0:1 - - [18/Jan/2019:09:56:56 +0900] "GET /ShoppingSite/ItemPageAction.action?id=1 HTTP/1.1" 200 4981
0:0:0:0:0:0:0:1 - - [18/Jan/2019:09:57:09 +0900] "GET /ShoppingSite/ItemPageAction.action?id=1 HTTP/1.1" 200 4995
